İsim,Seviye,Tam İsim
GÜNEŞKÖY,3,GÜZELYURT / MERKEZ / GÜNEŞKÖY
İSMET PAŞA,3,GÜZELYURT / MERKEZ / İSMET PAŞA
KALKANLI,3,GÜZELYURT / MERKEZ / KALKANLI
MEVLEVİ,3,GÜZELYURT / MERKEZ / MEVLEVİ
SERHATKÖY,3,GÜZELYURT / MERKEZ / SERHATKÖY
ŞAHİNLER,3,GÜZELYURT / MERKEZ / ŞAHİNLER
YUKARI BOSTANCI,3,GÜZELYURT / MERKEZ / YUKARI BOSTANCI
YUVACIK,3,GÜZELYURT / MERKEZ / YUVACIK
ZÜMRÜTKÖY,3,GÜZELYURT / MERKEZ / ZÜMRÜTKÖY
İSKELE KÜÇÜK ESNAF SANAYİ BÖLGESİ,3,İSKELE / MERKEZ / İSKELE KÜÇÜK ESNAF SANAYİ BÖLGESİ
MERKEZ,3,İSKELE / BÜYÜKKONUK / MERKEZ
KAPLICA,3,İSKELE / BÜYÜKKONUK / KAPLICA
KİLİTKAYA,3,İSKELE / BÜYÜKKONUK / KİLİTKAYA
MERSİNLİK,3,İSKELE / BÜYÜKKONUK / MERSİNLİK
SAZLIKÖY,3,İSKELE / BÜYÜKKONUK / SAZLIKÖY
TUZLUCA,3,İSKELE / BÜYÜKKONUK / TUZLUCA
YEDİKONUK,3,İSKELE / BÜYÜKKONUK / YEDİKONUK
ZEYBEKKÖY,3,İSKELE / BÜYÜKKONUK / ZEYBEKKÖY
ERSİN PAŞA,3,İSKELE / DİPKARPAZ / ERSİN PAŞA
KALEBURNU,3,İSKELE / DİPKARPAZ / KALEBURNU
POLAT PAŞA,3,İSKELE / DİPKARPAZ / POLAT PAŞA
SANCAR PAŞA,3,İSKELE / DİPKARPAZ / SANCAR PAŞA
MERKEZ,3,İSKELE / KANTARA / MERKEZ
BAFRA,3,İSKELE / MEHMETÇİK / BAFRA
BALALAN,3,İSKELE / MEHMETÇİK / BALALAN
ÇAYIROVA,3,İSKELE / MEHMETÇİK / ÇAYIROVA
KUMYALI,3,İSKELE / MEHMETÇİK / KUMYALI
PAMUKLU,3,İSKELE / MEHMETÇİK / PAMUKLU
AĞILLAR,3,İSKELE / MERKEZ / AĞILLAR
ALTINOVA,3,İSKELE / MERKEZ / ALTINOVA
ARDAHAN,3,İSKELE / MERKEZ / ARDAHAN
AYGÜN,3,İSKELE / MERKEZ / AYGÜN
BAHÇELER,3,İSKELE / MERKEZ / BAHÇELER
BOĞAZ,3,İSKELE / MERKEZ / BOĞAZ
BOĞAZİÇİ,3,İSKELE / MERKEZ / BOĞAZİÇİ
BOĞAZTEPE,3,İSKELE / MERKEZ / BOĞAZTEPE
CEVİZLİ,3,İSKELE / MERKEZ / CEVİZLİ
ERGAZİ,3,İSKELE / MERKEZ / ERGAZİ
İSKELE,3,İSKELE / MERKEZ / İSKELE
KALECİK,3,İSKELE / MERKEZ / KALECİK
KURTULUŞ,3,İSKELE / MERKEZ / KURTULUŞ
KUZUCUK,3,İSKELE / MERKEZ / KUZUCUK
ÖTÜKEN,3,İSKELE / MERKEZ / ÖTÜKEN
